日付,作業内容,場所,稼働時間,
2025/8/4,プーリープロトタイプR&D,Kyopalab,7,Kyopalab作業：基本10~18時(1h休憩)として7h
2025/8/18,モデリングなど,Kyopalab,7,
2025/8/19,同上,Kyopalab,7,
2025/8/21,紙LED透過試作検討,Kyopalab,7,
2025/8/22,紙調達・紙LED透過試作検討,Kyopalab,7,
2025/8/25,モデリングなど,Kyopalab,7,
2025/8/26,モーター振動防止材テスト・ウインチハウジング板金サイズ検討,Kyopalab,7,
2025/8/27,モデリングなど,リモート,6,リモート作業：基本6 h
2025/8/28,筒の仮レイアウトモデリング,Kyopalab,7,
2025/8/29,筒の仮レイアウトモデリング修正,Kyopalab,7,
2025/9/1,ウィンチボックスモデリング・定例MTG,Kyopalab,7,
2025/9/2,ウィンチボックスモデリング(ケーブルガイドなど検討)・モックアップ作成,Kyopalab,7,
2025/9/3,ウィンチボックスパターン検討,Kyopalab,7,
2025/9/4,ウィンチボックスパターン検討(星取表作成),Kyopalab,7,
2025/9/5,ウィンチボックスパターン5のモデリング,Kyopalab,7,
2025/9/9,PCB設計(スリップリングプーリーR&D),Kyopalab,7,
2025/9/10,ウィンチボックスパターン5のモデリング,Kyopalab,7,
2025/9/11,DMXウィンチLEDライトの分解・資料作成・定例MTG・レバースイッチ検討など,Kyopalab,7,
2025/9/12,PCB設計(端面スルーホールR&D)・モデリングなど,Kyopalab,7,
2025/9/15,PCB設計内容まとめ・モデリングなど,Kyopalab,7,
2025/9/16,PCB設計・モデリングなど,Kyopalab,7,
2025/9/18,PCB設計・定例MTG,リモート,6,リモート
2025/9/19,PCB設計・ステレオミニプラグ検討,Kyopalab,7,
2025/9/24,PCB設計,Kyopalab,7,
2025/9/29,PCB設計・定例MTG,Kyopalab,7,
2025/10/2,モーター負荷テスト,Kyopalab,7,
2025/10/3,ステレオミニテスト基板発注・ウィンチ基板開発進捗シート作成など,Kyopalab,7,
2025/10/7,PCB設計・レビューFB・ケーブル選定,Kyopalab,7,
2025/10/10,PCB設計・モデリング・ステレオミニケーブル負荷テスト,Kyopalab,7,
2025/10/13,PCB設計・レビューFB,リモート,6,リモート
2025/10/14,PCB設計・ウィンチカバー板金確定・ステレオミニケーブル負荷テスト,Kyopalab,7,
2025/10/15,PCB設計・部品選定,Kyopalab,3,リモート(稼働時間：少)
202510/16,PCB設計(評価ボード),Kyopalab,7,
2025/10/17,PCB設計発注前チェック,Kyopalab,7,
2025/10/20,PCB発注(ウィンチ)・PCB設計(評価ボード),Kyopalab,7,
2025/10/21,PCB設計(評価ボード),Kyopalab,7,
2025/10/23,PCB設計発注前チェック・PCB発注(評価ボード),Kyopalab,7,
2025/10/24,モデリングなど,Kyopalab,7,
2025/10/27,ウィンチ基板(WPCBB)修正・発注,Kyopalab,2,午後：Homewine
2025/10/28,モデリングなど,Kyopalab,3,リモート(稼働時間：少)
2025/10/30,モデリングなど,Kyopalab,7,
2025/10/31,モデリング・在庫整理・定例MTG,Kyopalab,7,
合計,,,278,
